Player	Round	Exit Velocity (MPH)	Distance (Ft)	Launch Angle
Vladimir Guerrero Jr.	3	100.0	379	34
Vladimir Guerrero Jr.	3	104.0	429	27
Vladimir Guerrero Jr.	3	102.0	437	30
Vladimir Guerrero Jr.	3	95.0	393	30
Vladimir Guerrero Jr.	3	102.0	426	24
Vladimir Guerrero Jr.	3	105.0	437	24
Vladimir Guerrero Jr.	3	108.0	458	24
Vladimir Guerrero Jr.	3	103.0	412	31
Vladimir Guerrero Jr.	3	108.0	441	22
Vladimir Guerrero Jr.	3	102.0	423	31
Vladimir Guerrero Jr.	3	101.0	405	34
Vladimir Guerrero Jr.	3	109.0	434	21
Vladimir Guerrero Jr.	3	107.0	459	25
Vladimir Guerrero Jr.	3	110.0	463	25
Vladimir Guerrero Jr.	3	103.0	439	23
Vladimir Guerrero Jr.	3	105.0	456	32
Vladimir Guerrero Jr.	3	104.0	433	23
Vladimir Guerrero Jr.	3	109.0	445	20
Vladimir Guerrero Jr.	3	109.0	407	19
Vladimir Guerrero Jr.	3	91.0	435	41
Vladimir Guerrero Jr.	3	108.0	463	23
Vladimir Guerrero Jr.	2	95.0	384	25
Vladimir Guerrero Jr.	2	106.0	400	35
Vladimir Guerrero Jr.	2	109.0	469	24
Vladimir Guerrero Jr.	2	108.0	457	22
Vladimir Guerrero Jr.	2	105.0	446	30
Vladimir Guerrero Jr.	2	105.0	440	28
Vladimir Guerrero Jr.	2	104.0	389	35
Vladimir Guerrero Jr.	2	112.0	488	26
Vladimir Guerrero Jr.	2	102.0	429	27
Vladimir Guerrero Jr.	2	105.0	422	28
Vladimir Guerrero Jr.	2	108.0	428	24
Vladimir Guerrero Jr.	2	104.0	419	22
Vladimir Guerrero Jr.	2	108.0	414	21
Vladimir Guerrero Jr.	2	104.0	439	28
Vladimir Guerrero Jr.	2	103.0	402	22
Vladimir Guerrero Jr.	2	102.0	395	22
Vladimir Guerrero Jr.	2	99.0	392	33
Vladimir Guerrero Jr.	2	108.0	439	18
Vladimir Guerrero Jr.	2	105.0	457	28
Vladimir Guerrero Jr.	2	99.0	378	37
Vladimir Guerrero Jr.	2	104.0	426	34
Vladimir Guerrero Jr.	2	101.0	398	33
Vladimir Guerrero Jr.	2	106.0	445	29
Vladimir Guerrero Jr.	2	111.0	468	20
Vladimir Guerrero Jr.	2	108.0	456	27
Vladimir Guerrero Jr.	2	99.0	406	29
Vladimir Guerrero Jr.	2	106.0	448	28
Vladimir Guerrero Jr.	2	108.0	447	23
Vladimir Guerrero Jr.	2	99.0	381	33
Vladimir Guerrero Jr.	2	104.0	429	29
Vladimir Guerrero Jr.	2	108.0	461	22
Vladimir Guerrero Jr.	2	99.0	384	33
Vladimir Guerrero Jr.	2	103.0	420	32
Vladimir Guerrero Jr.	2	101.0	400	31
Vladimir Guerrero Jr.	2	104.0	424	29
Vladimir Guerrero Jr.	2	107.0	449	27
Vladimir Guerrero Jr.	2	98.0	383	33
Vladimir Guerrero Jr.	2	107.0	429	32
Vladimir Guerrero Jr.	1	100.0	381	34
Vladimir Guerrero Jr.	1	105.0	437	28
Vladimir Guerrero Jr.	1	103.0	418	28
Vladimir Guerrero Jr.	1	105.0	406	22
Vladimir Guerrero Jr.	1	105.0	402	19
